academy|training residency
motif|arabesque theme
musicality|melody improvisation syncopation harmony choreography rhythm tempo chorus
orbit|gravity
ovation|encore fan
partner|partnering mentor
percussionist|improvisation drummer ensemble melody chorus syncopation
performance|rehearsal choreography troupe improvisation ensemble ballet audition encore choreographer
phrase|phrasing
phrasing|phrase
pique|offbeat
pirouette|twirl ballerina prance waltz shimmy dancer glide spin whirl footwork swoop sashay
pointe|promenade
poise|aplomb footwork stamina
polka|bolero melody leotard ensemble drummer waltz
polonaise|waltz composition syncopation recital melody ballet chorus improvisation
polyrhythm|syncopation rhythm improvisation melody tempo harmony musicality composition
popping|whirl
posture|lean stretching
practice|training
prance|shimmy twirl sashay swagger pirouette stomp ballerina
precision|sequence
premiere|matinee finale audition studio rehearsal audience
press|release house
promenade|ballroom
proscenium|ballet improvisation arabesque choreographer choreography ensemble
pulse|vibrate staccato whirl
punch|kick bounce
quickstep|pirouette foxtrot spin melody swagger footwork unison boogie sashay glide
reach|turn soar extend drop
recital|rehearsal waltz conservatory ballet ensemble
reel|whirl flick spin
rehearsal|audition recital performance waltz choreography ballet troupe ensemble dancer improvisation choreographer premiere
release|press
repertoire|improvisation maestro waltz melody choreography recital troupe ballet syncopation choreographer musicality
repertory|ballet choreographer troupe improvisation ensemble recital repertoire choreography waltz
residency|conservatory
rhythm|syncopation tempo melody harmony polyrhythm improvisation staccato musicality chorus
ribbon|sash scarf skirt
ripple|whirl drift wobble stillness
rise|soar fall drop collapse dip reach
roll|dip shuffle bounce
rosin|brush
routine|choreography stamina practice improvisation
rubato|improvisation musicality syncopation melody harmony rhythm choreography tempo chorus
rumba|mambo foxtrot choreography waltz dancer tango prance samba merengue ballet hoedown choreographer
samba|merengue mambo waltz dancer conga tango rumba troupe flamenco bachata choreography bolero
sash|scarf skirt tights ribbon
sashay|shimmy prance twirl swagger stomp strut pirouette glide
scarf|skirt tights
season|finale
sequence|variation
shimmy|sashay twirl strut pirouette sway glide swagger curl bend bounce
showstopper|encore ballerina choreography
shuffle|shuffling shimmy whirl spin twirl sashay crouch swagger lean glide sway bounce
shuffling|shuffle whirl locking
skip|turn shuffle break
skirt|tights bolero
skitter|glide sway shimmy whirl
slash|drop fall dip rise
slide|drop bounce fall lift shimmy dip glide bend swing twirl
slippers|tights leotard
soar|rise dip reach drop fall
soloist|recital ensemble waltz ballet chorus choreographer improvisation
spin|wobble whirl pirouette twirl twist shimmy glide swoop tilt shuffle swing gravity
spiral|wobble rise swoop glide circle diagonal ripple
spotlight|circle
spotting|swoop
staccato|rhythm syncopation chorus melody crescendo
stage|rehearsal performance repertoire troupe turn reach
stamina|poise routine
step|turn measure
stillness|silence
stomp|prance swagger sashay
strength|flexibility
stretch|stretching traverse
stretching|stretch posture
strut|shimmy sashay twirl prance swoop
studio|premiere audience
suspend|suspension
suspension|suspend
swagger|sashay
sway|shimmy bend stillness lean unison tilt
sweep|spotlight opener
swing|bounce tilt wobble jump sway drop shimmy slide fall turn
swoop|glide whirl pirouette spin stomp twirl shimmy jump sway
syncopation|melody rhythm polyrhythm improvisation harmony tempo musicality chorus staccato
tango|waltz choreography rumba mambo merengue improvisation ballet samba dancer jazz troupe bachata
tap|flick
taps|tap stomp vibrate
technique|practice
teeter|tilt spiral arch wobble
tempo|rhythm melody syncopation musicality harmony improvisation polyrhythm drummer waltz
temps|freeze
theme|motif
tights|skirt leotard
tilt|lean swing wobble whirl spin sway bend glide twist shimmy twirl
training|practice mentor
transition|step
travel|tour reach
traverse|stretch
troupe|ballet choreographer choreography dancer ensemble rehearsal performance waltz audition recital improvisation conservatory
turn|break reach skip
tutu|leotard ballerina prance skirt costume bolero tights
twirl|pirouette shimmy prance sashay whirl glide ballerina curl spin hula strut dancer
twist|spin
unfurl|float
unison|pirouette
upbeat|downbeat
upstage|encore
vamp|melody syncopation chorus waltz drummer
variation|sequence
verse|chorus melody
waltz|melody improvisation recital ballet hoedown dancer tango ensemble choreographer pirouette rumba rehearsal
warmup|opener
weave|motif
weight|lift
whirl|twirl spin glide swoop shimmy pirouette prance twist curl sashay
wiggle|sashay wobble unison shimmy twirl pirouette shuffle hula disco swing
wings|strut swoop
wobble|spin glide gravity whirl tilt swing twirl drift shimmy spiral pirouette bend
workshop|partnering
